employer_key,employer,fiscal_year,approvals,denials,state,city
moss and associates,MOSS & ASSOCIATES LLC,2021;2022;2023,31,0,FL,FORT LAUDERDALE
n2force,N2FORCE TECHNOLOGIES INC,2021;2022;2023,31,3,IL,NAPERVILLE
national vision,NATIONAL VISION INC,2021;2022;2023,31,0,GA,DULUTH
new england controls,NEW ENGLAND CONTROLS INC,2021;2022;2023,31,0,MA,MANSFIELD
nextiva,NEXTIVA,2021;2022;2023,31,0,AZ,SCOTTSDALE
nirvana enterprises,NIRVANA ENTERPRISES LLC,2021;2022;2023,31,1,NJ,EDISON
opentable,OPENTABLE INC,2021;2022;2023,31,5,CT,STAMFORD
panorama consulting and engrg,PANORAMA CONSULTING & ENGRG INC,2021;2022,31,0,MA,WOBURN
peak6,PEAK6 GROUP LLC,2021;2022;2023,31,2,IL,CHICAGO
pjt partners,PJT PARTNERS HOLDINGS LP,2021;2022;2023,31,1,NY,NEW YORK
pra,PRA GROUP INC,2021;2022;2023,31,1,VA,NORFOLK
progress software,PROGRESS SOFTWARE CORPORATION,2021;2022;2023,31,2,MA,BEDFORD
quantum,QUANTUM CORPORATION,2021;2022;2023,31,1,CA,SAN JOSE
realpage,REALPAGE INC,2021;2022;2023,31,0,TX,RICHARDSON
reliance global,RELIANCE GLOBAL SERVICES INC,2021;2022;2023,31,1,NJ,SOUTH PLAINFIELD
reltio,RELTIO INC,2021;2022;2023,31,0,CA,REDWOOD CITY
renaissance learning,RENAISSANCE LEARNING INC,2021;2022;2023,31,1,WI,WISCONSIN RAPIDS
routeone,ROUTEONE LLC,2021;2022;2023,31,1,MI,FARMINGTON
sacrosanctinfo,SACROSANCTINFO LLC,2021;2022;2023,31,0,CA,FREMONT
silicon spectra,SILICON SPECTRA INC,2021;2022;2023,31,2,CA,SANTA CLARA
smart energy systems inc dba smart,SMART ENERGY SYSTEMS INC DBA SMART,2021;2022,31,0,CA,IRVINE
snapdocs,SNAPDOCS INC,2021;2022;2023,31,1,CA,SAN FRANCISCO
sterling jewelers,STERLING JEWELERS INC,2021;2022;2023,31,0,OH,AKRON
suvip solutions inc dba useready,SUVIP SOLUTIONS INC DBA USEREADY,2021;2022;2023,31,0,NJ,CRANFORD
svanaco inc dba americaneagle com,SVANACO INC DBA AMERICANEAGLE COM,2021,31,0,IL,DES PLAINES
sysintel,SYSINTEL INC,2021;2022;2023,31,2,SC,EASLEY
tada cognitive,TADA COGNITIVE SOLUTIONS LLC,2021;2022,31,0,IL,PEORIA
techaspect solutions inc d b a ta,TECHASPECT SOLUTIONS INC D/B/A TA,2021,31,0,CA,NEWARK
technology square,TECHNOLOGY SQUARE INC,2021;2022;2023,31,0,NJ,PISCATAWAY
technovera,TECHNOVERA INC,2021;2022;2023,31,0,TX,FRISCO
telenav,TELENAV INC,2021;2022;2023,31,2,CA,SANTA CLARA
terbium,TERBIUM TECHNOLOGIES INC,2021;2022;2023,31,1,TX,BUDA
texas children s hospital,TEXAS CHILDREN S HOSPITAL,2021;2022;2023,31,0,TX,HOUSTON
thales dis cpl,THALES DIS CPL USA INC,2021;2022;2023,31,1,CA,IRVINE
thales dis,THALES DIS USA INC,2021;2022;2023,31,2,TX,AUSTIN
thinklusive,THINKLUSIVE INC,2021;2022;2023,31,2,NJ,MONMOUTH JUNCTION
thoughtline,THOUGHTLINE TECHNOLOGIES INC,2021;2022;2023,31,0,IL,LAKE IN THE HILLS
tigergraph,TIGERGRAPH INC,2021;2022;2023,31,1,CA,REDWOOD CITY
tripalink,TRIPALINK CORP,2021;2022;2023,31,2,CA,LOS ANGELES
twist bioscience,TWIST BIOSCIENCE CORPORATION,2021;2022;2023,31,0,CA,SOUTH SAN FRANCISCO
umass memorial medical center,UMASS MEMORIAL MEDICAL CENTER INC,2021;2022;2023,31,1,MA,WORCESTER
univ of alabama health svcs founda,UNIV OF ALABAMA HEALTH SVCS FOUNDA,2021,31,0,AL,BIRMINGHAM
university of north georgia,UNIVERSITY OF NORTH GEORGIA,2021;2022;2023,31,2,GA,DAHLONEGA
utegration,UTEGRATION LLC,2021;2022;2023,31,3,TX,HOUSTON
vaktech,VAKTECH CORPORATION LLC,2021;2022,31,0,NJ,MONROE TWP
vls,VLS SYSTEMS INC,2021;2022;2023,31,0,VA,CHANTILLY
w3global,W3GLOBAL INC,2021;2022;2023,31,1,TX,DALLAS
west publishing,WEST PUBLISHING CORPORATION,2021;2022;2023,31,0,MN,EAGAN
xdin,XDIN INC,2021;2022,31,2,NC,GREENSBORO
yu ming charter school,YU MING CHARTER SCHOOL,2021;2022;2023,31,0,CA,EMERYVILLE
california independent system operator,CALIFORNIA INDEPENDENT SYSTEM OPERATOR CORPORATION,2022;2023,31,0,CA,FOLSOM
continental autonomous mobility,CONTINENTAL AUTONOMOUS MOBILITY US LLC,2022;2023,31,1,MI,AUBURN HILLS
ntt data business,NTT DATA BUSINESS SOLUTIONS INC,2022;2023,31,1,OH,CINCINNATI
ssm health care group d b a slucare physician,SSM HEALTH CARE GROUP D/B/A SLUCARE PHYSICIAN GROUP,2022;2023,31,0,MO,CREVE COEUR
the childrens place,THE CHILDRENS PLACE SERVICES CO,2022,31,0,NJ,SECAUCUS
touchstone it,TOUCHSTONE IT SOLUTIONS LLC,2022;2023,31,0,PA,PHILADELPHIA
university of vermont health network medical,UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP INC,2022;2023,31,2,VT,BERLIN
4consulting,4CONSULTING INC,2021;2022;2023,30,1,TX,DALLAS
aarna priya,AARNA PRIYA INC,2021;2022;2023,30,1,VA,HERNDON
abbott diagnostics scarborough,ABBOTT DIAGNOSTICS SCARBOROUGH INC,2021;2022,30,0,IL,ABBOTT PARK
adept computer consultants,ADEPT COMPUTER CONSULTANTS INC,2021;2022;2023,30,2,TX,IRVING
alindus,ALINDUS INC,2021;2022;2023,30,1,TX,IRVING
ambiopharm,AMBIOPHARM INC,2021;2022;2023,30,1,SC,BEECH ISLAND
ameritech global,AMERITECH GLOBAL INC,2021;2022;2023,30,1,IL,NAPERVILLE
amiseq,AMISEQ INC,2021;2022;2023,30,0,CA,MILPITAS
anaya,ANAYA TECHNOLOGIES INC,2021;2022;2023,30,1,CA,NEWARK
appalachian state university,APPALACHIAN STATE UNIVERSITY,2021;2022;2023,30,1,NC,BOONE
arthrex,ARTHREX INC,2021;2022;2023,30,0,FL,NAPLES
ascensus,ASCENSUS,2021;2022;2023,30,1,PA,DRESHER
astrix,ASTRIX TECHNOLOGY LLC,2021;2022;2023,30,2,NJ,RED BANK
aventure,AVENTURE SYSTEMS LLC,2021;2022;2023,30,2,MI,ADA
avventis tech,AVVENTIS TECH INC,2021;2022;2023,30,0,TX,STAFFORD
bain capital,BAIN CAPITAL LP,2021;2022;2023,30,2,MA,BOSTON
baxter healthcare,BAXTER HEALTHCARE CORPORATION,2021;2022;2023,30,1,IL,DEERFIELD
bio med,BIO MED SERVICES INC,2021;2022;2023,30,1,CA,ONTARIO
bioreliance,BIORELIANCE CORPORATION,2021;2022;2023,30,0,MA,BURLINGTON
blockfi,BLOCKFI INC,2021;2022;2023,30,0,NJ,JERSEY CITY
bpm,BPM LLP,2021;2022;2023,30,1,CA,SAN FRANCISCO
branch metrics,BRANCH METRICS INC,2021;2022;2023,30,1,CA,REDWOOD CITY
bridgetown consulting,BRIDGETOWN CONSULTING GROUP INC,2021;2022;2023,30,0,NJ,PISCATAWAY
charlotte mecklenburg schools,CHARLOTTE MECKLENBURG SCHOOLS,2021;2022;2023,30,1,NC,CHARLOTTE
chenmed,CHENMED LLC,2021;2022;2023,30,3,FL,MIAMI
clarkson university,CLARKSON UNIVERSITY,2021;2022;2023,30,4,NY,POTSDAM
cloud big data,CLOUD BIG DATA TECHNOLOGIES LLC,2021;2022;2023,30,5,OK,DURANT
cloud centric,CLOUD CENTRIC INC,2021;2022;2023,30,0,AR,BENTONVILLE
cloudspace,CLOUDSPACE LLC,2021;2022,30,0,NC,CHARLOTTE
coder logics,CODER LOGICS INC,2021;2022;2023,30,0,TX,IRVING
cognizant worldwide,COGNIZANT WORLDWIDE LIMITED,2021;2023,30,1,NJ,TEANECK
commscope,COMMSCOPE TECHNOLOGIES LLC,2021;2022;2023,30,0,NC,HICKORY
connor,CONNOR GROUP INC,2021;2022;2023,30,0,NV,RENO
consor engineers,CONSOR ENGINEERS LLC,2021;2022;2023,30,0,TX,HOUSTON
couchbase,COUCHBASE INC,2021;2022;2023,30,0,CA,SANTA CLARA
criteo,CRITEO CORP,2021;2022;2023,30,0,NY,NEW YORK
csc consulting,CSC CONSULTING INC,2021;2022;2023,30,0,TX,RICHARDSON
csi,CSI SOLUTIONS LLC,2021;2022;2023,30,1,GA,ALPHARETTA
data science,DATA SCIENCE TECHNOLOGIES LLC,2021;2022;2023,30,1,VT,RUTLAND
deluxe,DELUXE CORPORATION,2021;2022;2023,30,0,MN,SAINT PAUL
doterra,DOTERRA INTERNATIONAL LLC,2021;2022;2023,30,0,UT,PLEASANT GROVE
dupont specialty products,DUPONT SPECIALTY PRODUCTS USA LLC,2021;2022;2023,30,0,DE,WILMINGTON
e it professionals,E IT PROFESSIONALS CORP,2021;2022;2023,30,3,MI,LIVONIA
eclat,ECLAT SOLUTIONS LLC,2021;2022;2023,30,3,TX,AUSTIN
ektha,EKTHA SOLUTIONS INC,2021;2022;2023,30,0,TX,IRVING
electric reliability council of tx,ELECTRIC RELIABILITY COUNCIL OF TX,2021;2022,30,0,TX,TAYLOR
